RefDes,Value,Name,Pattern,Quantity,Wurth,,Toby,,4UCon,,Bourns,,TE Connectivity,,Line total
CN1,,1x6,1x6 male SMD 2,1,,,,,11106, £0.13 ,,,,, £0.13 
D1,YELLOW,LED,DIO_0603,1,150060YS75000, £0.01 ,,,,,,,,, £0.01 
D2,RED,LED,DIO_0603,1,150060RS75000, £0.01 ,,,,,,,,, £0.01 
D3,GREEN,LED,DIO_0603,1,150060VS75000, £0.01 ,,,,,,,,, £0.01 
J1,,90131-0140,HDR-2x20T/2.54x2.54/51x5,1,613 040 218 21, £0.33 ,,,00587, £0.17 ,,,,, £0.17 
"R1, R2, R3, R4, R5",1k,741C083,CAY16-F4/J4 (1206),5,,,,,,,CAY16-102J4LF, £0.01 ,,, £0.07 
S1,,B3FS-1000,B3FS,1,430 182 043 816, £0.06 ,,,,,,,FSM4JSMA, £0.09 , £0.06 
S2,,BD08,BPA-08S,1,,,VDIP-1027-8P-B , £0.35 ,,,,,,, £0.35 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Sub total, £0.81 
